embed_dim,depth,mlp_ratio,num_heads,num_params,flops,val_accuracy,val_f1,val_auroc,val_auprc,iteration,hospital,task,avg_rank
128,1,2,2,1233394,268435968,0.9442750567628933,0.6595323028141102,0.9518868068477409,0.7574963684739643,2,MIMIC-IV,death,1.0
32,8,8,2,443506,1342177408,0.937917612714888,0.5880327163151098,0.9378768473954765,0.7063589658519274,1,MIMIC-IV,death,2.0
