arch_idx,embed_dim,depth,mlp_ratio,num_heads,num_params,flops,autoformer_accuracy,autoformer_f1,autoformer_auroc,autoformer_auprc,traditional_accuracy,traditional_f1,traditional_auroc,traditional_auprc
0,256,1,8,2,3668065,1342178304,0.8127531882970742,0.07142857142857142,0.6911238250201752,0.327147488104055,0.8073518379594898,0.15079365079365079,0.6902941166839769,0.32627783126302845
1,32,4,2,2,325025,620757120,0.8142535633908478,0.0,0.6822161257376137,0.32135094784553,0.8142535633908478,0.0,0.6937981813543423,0.3149472977583549
2,32,4,4,8,341665,637534336,0.8103525881470368,0.07058823529411765,0.6876077787333303,0.3192870523933743,0.8142535633908478,0.0,0.6825780300912716,0.3082818578947335
