metric,pearson_r,p_value,n
accuracy,-0.13206763594881404,0.9156767836780753,3
f1,0.5088490160189826,0.6601422927840497,3
auroc,-0.41790417927656326,0.7255295543572979,3
auprc,0.992924939335045,0.07577336821773989,3
