arch_idx,embed_dim,depth,mlp_ratio,num_heads,num_params,flops,autoformer_accuracy,autoformer_f1,autoformer_auroc,autoformer_auprc
0,256,1,8,2,3668065,1342178304,0.7509377344336085,0.23219241443108232,0.8186082630533914,0.6685630469451722
1,32,4,2,2,325025,620757120,0.7606901725431358,0.6332490227638538,0.7876082814649283,0.694555303943462
2,32,4,4,8,341665,637534336,0.8217554388597149,0.6312849162011173,0.8394542820465555,0.7264320025523523
