metric,pearson_r,p_value,n
accuracy,-0.48945289601906794,0.6743930182180654,3
f1,-0.871614661141408,0.32614645420518146,3
auroc,0.10297913690077183,0.9343250173432733,3
auprc,-0.8010124874048163,0.40859003510419395,3
