embed_dim,depth,mlp_ratio,num_heads,num_params,flops,val_accuracy,val_f1,val_auroc,val_auprc,operator,prompt_idx,temperature,iteration,hospital,task,avg_rank
128,8,1,4,1961073,1879048704,0.7809206877426511,0.015732888431283603,0.5573559443379641,0.26664184303681515,init/mutation,0,0.7,2,MIMIC-III,next_diag_6m_pheno,1.25
128,4,4,4,1957489,1342177792,0.7800425217230541,0.0004553734061930783,0.5599991596828867,0.2648340637724076,init/cold,10,0.7,1,MIMIC-III,next_diag_6m_pheno,1.75
