hospital,embed_dim,depth,mlp_ratio,num_heads,shap_embed_dim,shap_depth,shap_mlp_ratio,shap_num_heads
MIMIC-IV,64,1,1,8,4.0013967,-0.12373732,0.24118719,-0.04095943
MIMIC-IV,16,4,1,8,-6.094528,-0.81731164,-0.036248907,-0.22336265
MIMIC-IV,64,4,1,2,3.6910217,-0.8187561,-0.36533007,0.072750606
MIMIC-IV,64,2,4,2,4.3401666,0.16867712,0.018790377,0.3016418
MIMIC-IV,16,2,8,1,-5.7125483,-0.36851928,0.9457448,-0.034847062
MIMIC-IV,16,8,1,4,-5.459421,0.66973126,0.22541389,-0.105895765
MIMIC-IV,16,8,1,1,-5.2763453,0.9765149,0.35372064,0.52464074
MIMIC-IV,32,2,1,4,-0.17156498,-0.12980163,0.13419941,-0.004806679
MIMIC-IV,128,8,4,8,8.316937,0.6182624,0.1697315,-0.026977457
MIMIC-IV,64,1,4,8,4.0002675,-0.64969873,-0.5572959,-0.213525
MIMIC-IV,64,2,1,8,4.086594,-0.052138623,-0.1366674,-0.06709289
MIMIC-IV,128,8,8,4,7.106572,0.43055522,0.24519242,-0.2016836
MIMIC-IV,32,1,1,8,-0.051066525,-0.00048403477,0.2709031,-0.1381591
MIMIC-IV,32,4,4,4,-0.41357255,-0.57314974,-0.21637774,0.03238897
MIMIC-IV,16,8,8,8,-5.2302213,0.5690144,1.181118,-0.19213235
MIMIC-IV,16,4,2,1,-6.5357323,-0.98701656,-1.5777926,-0.06903403
MIMIC-IV,16,4,4,2,-6.3231077,-0.5475832,-0.4670353,0.41529962
MIMIC-IV,16,8,4,8,-6.263867,0.47521973,-0.97522366,-0.40466318
MIMIC-IV,128,2,2,2,7.9502974,-0.04506279,-0.3974069,0.07147399
MIMIC-IV,128,8,8,1,7.1149263,0.604365,0.2672424,0.092532806
