arch_idx,embed_dim,depth,mlp_ratio,num_heads,num_params,flops,autoformer_accuracy,autoformer_f1,autoformer_auroc,autoformer_auprc,traditional_accuracy,traditional_f1,traditional_auroc,traditional_auprc
0,256,1,8,2,3672177,1342178304,0.7813366611203549,0.022364031781843242,0.5733167415119166,0.2763839871065248,0.7973285265298576,0.15931074096635012,0.6649110936693405,0.36790349033335623
1,32,4,2,2,325553,620757120,0.7800887409872435,0.0,0.5375041394948785,0.25471016769695526,0.7800887409872435,0.0,0.5127813205021595,0.24036308196670944
2,32,4,4,8,342193,637534336,0.7800887409872435,0.0,0.5368717201134634,0.2505738907259562,0.7800887409872435,0.0,0.520445279012922,0.23493926465795426
