arch_idx,embed_dim,depth,mlp_ratio,num_heads,num_params,flops,autoformer_accuracy,autoformer_f1,autoformer_auroc,autoformer_auprc
0,256,1,8,2,3545458,1342178304,0.9467401881284463,0.6884250474383302,0.9572210947808342,0.7805409444762279
1,32,4,2,2,309490,620757120,0.9286409341550438,0.6151154653603919,0.911240617965482,0.6643628651612835
2,32,4,4,8,326130,637534336,0.9343496594226403,0.6155015197568389,0.9391578926340287,0.7009530155834195
