metric,pearson_r,p_value,n
accuracy,0.6934801836750172,0.5121529902052491,3
f1,0.9886234178696288,0.09611996803753385,3
auroc,0.9667443331148027,0.16464135062063176,3
auprc,0.84369850538389,0.3607471280395715,3
