arch_idx,embed_dim,depth,mlp_ratio,num_heads,num_params,flops,autoformer_accuracy,autoformer_f1,autoformer_auroc,autoformer_auprc,traditional_accuracy,traditional_f1,traditional_auroc,traditional_auprc
0,128,2,2,4,1365874,939524608,0.9394096659098281,0.6543301258327165,0.9368380074188946,0.7313769000250451,0.9410314628608498,0.6175851914177535,0.9429298047942537,0.7342481795720641
1,64,4,2,4,682354,1409286400,0.9395394096659099,0.6244963738920226,0.9388906662710137,0.7288655557771341,0.9272137528381447,0.5644409937888198,0.9071354006468041,0.6253538392631034
