arch_idx,embed_dim,depth,mlp_ratio,num_heads,num_params,flops,autoformer_accuracy,autoformer_f1,autoformer_auroc,autoformer_auprc,traditional_accuracy,traditional_f1,traditional_auroc,traditional_auprc
0,256,1,8,2,3672177,1342178304,0.777200677131425,0.08299995240022663,0.5873509179718245,0.2996259947234201,0.7957063711911356,0.2279803356483551,0.6698874248905855,0.390860314446812
1,32,4,2,2,325553,620757120,0.7727377654662972,0.0,0.5491014295353303,0.2646791079925587,0.7727377654662972,0.0,0.5271422129963589,0.24979732713922248
2,32,4,4,8,342193,637534336,0.7727377654662972,0.0,0.5471960065207359,0.2623760246352766,0.7727377654662972,0.0,0.5196116320398132,0.24474144815410184
