task,feature,level,est_mean_shap,ci_lo,ci_hi,n_rows,n_hospitals,model_type
readmission,embed_dim,16,-3.2615736374999993,-3.6570147942599047,-2.866132480740094,8,1,mixedlm
readmission,embed_dim,32,1.2853744333333332,0.6396218396260829,1.9311270270405836,3,1,mixedlm
readmission,embed_dim,64,1.1673550340000003,0.6671571913069091,1.6675528766930916,5,1,mixedlm
readmission,embed_dim,128,3.6137984,3.05456023002979,4.173036569970209,4,1,mixedlm
readmission,depth,1,1.2925419333333332,0.8068072353464357,1.7782766313202307,3,1,mixedlm
readmission,depth,2,-0.5997089519999999,-0.9759575080466697,-0.22346039595333,5,1,mixedlm
readmission,depth,4,-0.008286316000000182,-0.38453487204667003,0.36796224004666966,5,1,mixedlm
readmission,depth,8,-0.2786576886428571,-0.596645821572098,0.039330444286383826,7,1,mixedlm
readmission,mlp_ratio,1,-3.8747025398374226e-16,-0.10295462730315363,0.10295462730315286,8,1,mixedlm
readmission,mlp_ratio,2,0.4306206000000002,-0.06302691099193414,0.9242681109919345,2,1,mixedlm
readmission,mlp_ratio,4,0.5039691208333332,0.3129237197797321,0.6950145218869344,6,1,mixedlm
readmission,mlp_ratio,8,-0.2365853642499999,-0.533731330443269,0.06056060194326926,4,1,mixedlm
readmission,num_heads,1,-0.41040470500000004,-0.896672366396184,0.0758629563961839,4,1,mixedlm
readmission,num_heads,2,-0.06003441000000004,-0.5463020713961843,0.4262332513961842,4,1,mixedlm
readmission,num_heads,4,-0.08876189630000003,-0.5750295576961844,0.39750576509618424,4,1,mixedlm
readmission,num_heads,8,0.19599873624999997,-0.14784490843134956,0.5398423809313495,8,1,mixedlm
