arch_idx,embed_dim,depth,mlp_ratio,num_heads,num_params,flops,autoformer_accuracy,autoformer_f1,autoformer_auroc,autoformer_auprc,traditional_accuracy,traditional_f1,traditional_auroc,traditional_auprc
0,256,1,8,2,3668065,1342178304,0.7290322580645161,0.7082390953150243,0.8104833619226423,0.8237218741884234,0.7453863465866467,0.715411705517357,0.8346194470332401,0.8425046509559098
1,32,4,2,2,325025,620757120,0.6852213053263316,0.7374217772215269,0.7845664104884496,0.7832543400254968,0.6807201800450112,0.6572164948453608,0.7519117468292882,0.750594348010555
2,32,4,4,8,341665,637534336,0.719429857464366,0.7247571386517515,0.7878077177627403,0.7912496056768062,0.6655663915978994,0.7057425742574257,0.7373221497359428,0.7249493475197041
