metric,pearson_r,p_value,n
accuracy,0.5260348467324978,0.6473562801781237,3
f1,-0.9030277586494602,0.2826783163395391,3
auroc,0.967789961533854,0.16201805276438108,3
auprc,0.9223853031636063,0.25247415087926656,3
