arch_idx,traditional_accuracy,traditional_f1,traditional_auroc,traditional_auprc
0,0.7453863465866467,0.715411705517357,0.8346194470332401,0.8425046509559098
1,0.6807201800450112,0.6572164948453608,0.7519117468292882,0.750594348010555
2,0.6655663915978994,0.7057425742574257,0.7373221497359428,0.7249493475197041
