arch_idx,embed_dim,depth,mlp_ratio,num_heads,num_params,flops,autoformer_accuracy,autoformer_f1,autoformer_auroc,autoformer_auprc
0,256,1,8,2,3668065,1342178304,0.7290322580645161,0.7082390953150243,0.8104833619226423,0.8237218741884234
1,32,4,2,2,325025,620757120,0.6852213053263316,0.7374217772215269,0.7845664104884496,0.7832543400254968
2,32,4,4,8,341665,637534336,0.719429857464366,0.7247571386517515,0.7878077177627403,0.7912496056768062
