task,feature,level,est_mean_shap,ci_lo,ci_hi,n_rows,n_hospitals,model_type
next_diag_12m_pheno,embed_dim,32,-1.3686883999999995,-1.424766530714041,-1.312610269285958,2,1,mixedlm
next_diag_12m_pheno,embed_dim,128,1.074929833333333,1.029142137476909,1.120717529189757,3,1,mixedlm
next_diag_12m_pheno,depth,1,-0.6402364000000001,-0.8505944560473233,-0.42987834395267693,1,1,mixedlm
next_diag_12m_pheno,depth,2,-0.26107627,-0.4098221694629649,-0.11233037053703507,2,1,mixedlm
next_diag_12m_pheno,depth,4,0.7017930250000001,0.5530471255370352,0.850538924462965,2,1,mixedlm
next_diag_12m_pheno,mlp_ratio,1,0.03066366733333333,0.02849725240356248,0.032830082263104174,3,1,mixedlm
next_diag_12m_pheno,mlp_ratio,4,-0.006545955000000003,-0.01029828051362363,-0.0027936294863763755,1,1,mixedlm
next_diag_12m_pheno,mlp_ratio,8,-0.07222470000000002,-0.07597702551362365,-0.06847237448637639,1,1,mixedlm
next_diag_12m_pheno,num_heads,1,0.2552156999999998,0.19541571082490083,0.3150156891750988,1,1,mixedlm
next_diag_12m_pheno,num_heads,2,0.227295285,0.1850102229302406,0.2695803470697594,2,1,mixedlm
next_diag_12m_pheno,num_heads,8,-0.24817624000000005,-0.29046130206975945,-0.20589117793024064,2,1,mixedlm
